GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
HomeWork4,Trgil_4.Trgil_4,Triangle_classification.Triangle_Types,0,33,0,0,0,6,0,1,0,1
HomeWork4,Trgil_4.Trgil_4,Triangle_classification,0,52,0,14,0,16,0,9,0,2
